=== Correctness check ===
Correctness  float  inclusive_scan_mpi : OK
Correctness  Vec3   inclusive_scan_mpi : OK

=== Benchmark results ===
impl,kind,type,scaling,n_label,n_total,n_local,np,n_omp,wall_ms
omp,inclusive,float,strong,2^20,1048576,1048576,1,24,0.750
omp,inclusive,vec3,strong,2^20,1048576,1048576,1,24,0.675
mpi,inclusive,float,strong,2^20,1048576,262144,4,6,0.942
mpi,inclusive,vec3,strong,2^20,1048576,262144,4,6,0.531
mpi,inclusive,float,weak,2^20,4194304,1048576,4,6,0.425
mpi,inclusive,vec3,weak,2^20,4194304,1048576,4,6,1.644
omp,inclusive,float,strong,2^25,33554432,33554432,1,24,8.023
omp,inclusive,vec3,strong,2^25,33554432,33554432,1,24,22.660
mpi,inclusive,float,strong,2^25,33554432,8388608,4,6,8.320
mpi,inclusive,vec3,strong,2^25,33554432,8388608,4,6,29.015
mpi,inclusive,float,weak,2^25,134217728,33554432,4,6,43.343
mpi,inclusive,vec3,weak,2^25,134217728,33554432,4,6,121.001
omp,inclusive,float,strong,2^30,1073741824,1073741824,1,24,281.214
# skip omp strong vec3 2^30 (too large)
mpi,inclusive,float,strong,2^30,1073741824,268435456,4,6,325.216
mpi,inclusive,vec3,strong,2^30,1073741824,268435456,4,6,965.628
mpi,inclusive,float,weak,2^30,4294967296,1073741824,4,6,1390.435
# skip weak vec3 2^30 (too large)
# skip omp strong float 2^34 (too large)
# skip omp strong vec3 2^34 (too large)
# skip strong float 2^34 (local=4294967296 too large)
# skip strong vec3 2^34 (local=4294967296 too large)
# skip weak float 2^34 (too large)
# skip weak vec3 2^34 (too large)
